review,cluster
good experience overall complementary shuttle service helps lot especially airport nearby read read less,0
everything really great staff rooms safety quietness cleanliness rooms lobby adore hotel hope return soon really star hotel book read read less,1
everything great hello staying heart new york fantastic read read less,0
cleanliness hotel good rooms public areas read read less,0
lobby looks amazing parking not included booking pay park place actually visiting staying night booked double bed room room full beds instead facility clean outdoors gardens pool clean but room didnt match rest hotel definitely expecting wont staying hotel get less hotels around area read read less,1
everything great walked lobby smelled nice read read less,0
no complementary breakfast but close everything disney springs remarkable read read less,0
rooms small rooms king sized bed one side bed wall barely enough room walk end bed desktelevision opposite wall rooms double beds offer little room but still cramped however rooms clean natural light floor ceiling windows read read less,1
well managed property beating big five star hotels every aspects including staff friendliness cleanness convenience free self parking anaheim close distance convention center disney parks read read less,1
courteous rooms nice issue business center time computers minutes per session like minutes read read less,0
great location two pools nice staff friendly read read less,0
place reasonable food dessert breakfast lunch supper noticed several parents waiting pizza delivery charge parking people stuck first night ate beef jerky nuts gift shop stinky fruits pool areas tried blow bushes stinky needed safe opened took long time get room clean except mold shower rained lot no inside activities yoga zumba rainy season definitely wont back read read less,1
old building seem like used office building small room ugly shower area super priced lots hidden fees like extra hours late checkout charge easily double rate slow elevator change hotel residences inn manhattan compared new yorker not star but also star ⭐️ stay away new yorker read read less,1
super convenient location right next penn station read read less,0
reasonable price hotel tiny room ok considering location minutes penn station walk distance broadway theaters fitness facilities better expected hotel staff not friendly lobby staff especially read read less,1
art deco beauty perfect location helpful friendly staff read read less,0
location excellent hotel staff friendly helpful although hotel older well kept thing water changes temperature showering elevators take come down understandable though busy hotel read read less,1
entire staff friendly helpful location perfect read read less,0
didn’t like charged parking resort fee read read less,1
overall good deal not bad areano pool though work room warm no towels breakfast mediocre not enough options read read less,0
front desk staff manager super friendly accommodating room wasn’t ready yet checkin time upgraded king suite no extra charge hotel within walking distance disneylanddca room nice clean wellkept newer furnishings linens no stains carpets ac excellent etc would gladly stay read read less,1
loved swimming pools good location seaworld entertainment read read less,0
ok place room decent location great read read less,0
pleasant hotel little disappointed go restaurant order take pool side dining not bad thing but not expect order food go back mins later good hotel pool restaurant photos expect little bit service also charged incidental charge not expected deducted wait days returned account not cool read read less,1
checked night light switch not easy find multiple lights not working room read read less,1
old property but good service clean moments read read less,0
shower appears mold ceiling wallpapering peeling off wall sheets stained show pictures wallpaper mold problems if required price would expect cleaner facilities read read less,1
hotel set yet service low man loby room suits ledt without monitoring room service poor hotel old maintained poorly read read less,1
good feel home place even walk lil bit far but good read read less,0
likes bed comfortable dislikes staff not friendly breakfast not good bed runner marks burning something like cigarette read read less,0
great location stay tick tock restaurant okay thank read read less,0
queen size bed felt like full otherwise quite pleasant read read less,1
need staff chk wait family stood car underwhelming took entirely long read read less,1
off knew right away wouldn’t staying property right check go self park find weren’t given code gate go valet get code go get room mind self parking room completely opposite sides hotel property next realize charged parking forgot mention handicap tag call front desk explain get told would get refund card put file sounds great problem solved next day hadn’t received notification refund also got notice car going get towed didn’t parking tag dashwhen wasn’t given anything front desk go talk front desk morning park say charge handicap end giving parking tag overall not worth even small cost stay if staying property disney benefits suggest looking disney value resort inside hotel room general felt damp comforters beds damp friendliness staff much less acceptable not enjoy getting wrong information threat tow vehicle mistake read read less,1
stayed groumd floor room near pool say hotel word disney associated disappointing hotel stayed orlando room smelled musty ac loud frequently went off almost no sound proofing door outside heard every child pool activity overall room id say nothing new paint job read read less,1
staff amazing check fast check accommodating read read less,0
room not clean distinctive unpleasant smell spider web corners read read less,0
room decorated nicely comfy bed check fine but one person working would made great read read less,0
clean staff friendly professional read read less,0
property nice neighborhood restaurants retail shopping easy access public transportation facility twenty minutes laguardia airport convenient long day travel hotel clean check easy staff ran room card one stay fine together coming going tell us check back morning check but didn’t check back king size bed room comfortable bathroom small wedge corner shut open door but shower nice sink area well mirror also lit without main light well nice feature nice flat screen tv mounted wall wardrobe provided wasn’t closet made use corner room large luggage plenty cubby holes clothing shoes breakfast also provided every morning great way start day not worry food good part day negative foods everyday buffet style overall price room features neighborhood location breakfast would stay really liked wasn’t carpet floor either read read less,1
location atyractions excellent but could done shuttle bus times staff extremely helpful food good but breakfast could variety generally good stay read read less,1
everything excellent room great staff excellent amenities perfect thanks everyone one making stay enjoyable fun read read less,0
everything looked great parking bad big event conference area event plenty parking read read less,0
liked free shuttle airport liked close airport loved swimming pool bamboo lounge attached hotel read read less,1
hotel nice staff professional pleasant accommodating room older but clean would better if least one shelf bathroom coffee maker room would also nice location excellent attending events madison square garden short walk port authority if arriving bus read read less,1
hotel staff curteous lobby sleek modern room nice read read less,0
enjoyed stay much able check early made convenient read read less,0
amazing place gorgeous facility clean pools will come back read read less,0
property amazing many great things kids perfect place people kids no kids read read less,0
really comfortable traveled ny first time however im glad select hotel kind easy foreigners understand said read read less,0
great location food tic toc excellent staff friendly accommodating read read less,0
wifi slow，and room old 网贼慢，房间很老 read read less,0
picked hotel based off price rating distance jfk airport room limited lighting hard getting ready morning also no microwave overall pleased hotel shopsrestaurants around read read less,1
no fridge microwave room parking per night ridiculous property not congested area straight gouging read read less,0
front desk not nice never answer phone property far lobby read read less,0
huge property lots exploring ideal large families beautiful read read less,0
room cleaning better bed found socks big bottles water read read less,0
central close madison squaer garden penn station rooms small but clean minor issuehallways lobby floors dated staff helpful polite read read less,1
nice place stay easy access everything close subway read read less,0
lobby area nice pool check staff could little friendlier doesn’t hurt speak pool concession slow drinks horrible especially price read read less,1
liked location convenience store bar prices high read read less,0
check slow room smelt cigarettes staff polite moved us but process slow read read less,1
theres mishaps experience staying wyndham garden silicon valley san jose booked rooms family aunt uncle says getting king size bed but got rooms appears queen size bed rooms trying use phone room but not working go aunts room use phone wait ring back but decided go down front desk told king size bed also told cant transfer us fully book rooms accessible spacious looks clean but seen water stain ceiling slept alright comfortable enough staff friendly overall experience alright nothing standout read read less,1
checkin person nice checkin efficient older dirtier expected business area computer outdated no printer available print boarding passes hotel silicon valley way outdated read read less,1
front receptionist emergency wait someone else came place good read read less,0
room size cleanliness nice staff close many attractions read read less,0
okay lodging experience good location read read less,0
everything great but ac room wasn’t working really hot outside read read less,1
parking fees free charging day ridiculous could stayed different hotel if knew pay will not come back unless parking free read read less,1
hotel perfectly located disney universal parks lots restaurants bars within walking distance free parking bonus lots rooms upgraded still refurbished room ideal not upgraded air con bit noisy but still perfectly clean job read read less,1
property nice clean however stayed nights no one ever came clean room lacked towelsgarbage needed empty etc self parking fee us per night way high but no options read read less,1
minute arrive minute leave not customer treated like family read read less,0
things kids good amount pools hotel nice clean read read less,0
beautiful resort property pristine pools lush landscaping koi pond family friendly activities poolside bars numerous dining options read read less,0
liked property extremely kid friendly water slides lazy river great bonuses read read less,0
property nice but fell lobby wet floor broke wrist read read less,1
didnt like trouble checking also tgat key wasnt working even got new one also u got charged card lady front desk asked card id cards told wouldnt get charged everything payed ready read read less,1
staffpersonnel friendly attended needs spot definitely place would recommend read read less,0
would recommend hotel due location right front madison square garden lot metro entrances close makes easier commute however hotel features not best rooms extremely small went boyfriend overall fine but already small room two us didnt clean room well also floor wait elevators complete nightmare one day spent minutes waiting elevator enough space able go down another day wait minutes lobby able go elevators need major improvement since really slow always crowded read read less,1
clean good security room little small but expected area read read less,0
first room basically parking lot incredibly loud beginning barely got sleep due not location but mostly due fact seal door nonexistent could see light way around let us change rooms new room better location but still loud also soon check try con timeshare also dried blood stains comforter could not wait checkout mean hotel cheaper others area but terrible experience not worth savings read read less,1
given room first floor opening parking lot deal people coming leaving times car alarms etc didn’t car not sure would deal meanwhile cars probably much better room locations read read less,1
rooms not kept piling wallpaper old soap shower pool area not kept including jacuzzi not working read read less,1
concierge not helpful needed get taxi read read less,0
experience horrible staff rude room small wait hours fresh towels overall horrible experience read read less,0
overall property pleasing room clean pleased complain parking exception valet parking per night no parking property if don’t want pay valet service likely will park vehicle blocks away property street read read less,1
room great along service really happy hotel read read less,0
clean everything else good parking easy nice people read read less,0
picture expedia misleading actual property photo lobby accurate however location great grounds well kept actual room bit different bathroom extremely small little room move let alone fit two guests bathtub crackedpeeling off one corner stains tub floor also no mirror room aside mirror bathroom wasnt conductive two guests likely wont staying location read read less,1
liked fact private litle balcony well kepted clean read read less,0
like location it’s close many places read read less,0
didn’t get room booked booked king bed staying celebrate boyfriend’s birthday given room two double beds specifically didn’t book another hotel first choice double beds left everything else great read read less,1
lobby hard find didn’t look like photos rooms linen weird odor read read less,1
property beautiful staff great would nice if restaurants guests could dinner read read less,0
surrounding area bit questionable but hotel parking security rooms amenities staff awesome👍 read read less,1
great staff location easy access subway penn station read read less,0
enjoyed stay new yorker location great staff facility awesome loved art deco architecture read read less,0
staff kind amicable rooms kept clean time read read less,0
family stayed three nights really nice hotel close disneyland staff super friendly always smile room nicely updated quite except air conditioning unit thing rattled off throughout night but exhausted parks day didn’t wake us first night walking parks took minuets room spacious didn’t feel cramped four people moving around bathroom nice clean decent counter space shower big enough room move without touching sides could use places put stuff though small corner shelf things shower floor first time staying but won’t last read read less,1
staff friendly room clean safe access guest via key cards read read less,0
didn’t get explore much due inclement weather but see excellent parking bit obnoxious definitely could better downfall noticed will back read read less,1
clean economical spacious walking distance everything loved read read less,0
property awesome first day little frustrating room not ready early requested flight getting super early waiting lobby hours but able get us checked room great pools not crowded many choose restaurants great well thank goodness little coffee shop downstairs open early late kids enjoyed stay last night even caught fireworks hotel balcony read read less,1
great hotel room wonderful pools fantastic read read less,0
staff friendly nice facilities needs improvement not clean read read less,0
rooms really really tiny tried fitminiature size amenities small space small desk small chair small everything ready literally walk sideways get bed if two bed room story bathroom irritatingthing no place put soap showering maybe wany put floor less basic free breakfast dingy basement also patk street pay valet parking read read less,1
walkable disney park free parking property big small enough manage going vehicle lobby room young kids free coffee amenities great would ask if update color closets make welcoming keep belongings dark dated looking would definitely stay read read less,1
room clean hotel wasnt bad however staff rude charge dollars parking shouldnt chance if youre staying read read less,0
wyndham gone back room awful toilet kept breaking last day decided turn off water mid way shower without notifying guests addition cockroach also seen bath tub around pool it’s pretty much look no one coming round taking drink orders no amenity blow child’s floaty surface pool need tlc stayed many times but will last time hotel seriously gone back breakfast basic constantly remind servers breakfast order asked omelette mins later still not finally wrong one not good enough read read less,1
location great walking distance disney springs read read less,0
beautiful property but like hidden daily parking fee presented read read less,0
everything perfect staff facilities really good food algo perfect read read less,0
thing played miniature golf get clubs balls different hotel return hotel bit confusing food pool side restaurant pricy not good shrimp cooked kids got burgers ok price food served would not eat room great employees helpful nice clean would come but eat off property read read less,1
property always clean property land lake stunning happy stay thanks read read less,0
excellent facilities great families couples read read less,0
room clean hallway cleanliness okay best but you’re not sleeping hallway location good easy get everywhere penn station walking bummer photos make everything look much grand really foyer underwhelming comparison photos site room looks spacious wonderful photos but reality small given it’s new york size isn’t really shocking but expecting photo it’s little blah read read less,1
old hotel badly needing redecorated however spotlessly clean location ideal subway couple minutes walk away stayed double metro view room large enough us withe double beds however view not worth extra money read read less,1
super ugly room photos smelled urine moisture walls never cleaned room well cleaning staff arrives collapsing door every morning bad experience price wait something better hotel passing read read less,1
good happy joy family read read less,0
could not get proper facility insdie room used toilet water came toilet worst amnitesnot worth per day read read less,1
hotel clean comfortable nice comfortable beds staff friendly self service area leave luggage check end day no security but safe leave baggage read read less,1
stay time it’s clean plenty space rooms friendly staff read read less,0
excelente nice place take family clean read read less,0
arrived check pm find room wasn’t available check well responsible daily parking fee asked manager traveled according check waived resort fee nice but amount money spent stay resort not issue whatsoever top off told delayed possibly minutes however didn’t receive call notifying room become available half expected time giving celebrating dtrs birthday due fact didn’t check time got bags situated change made down stairs start exploring it’s started storm course bc pools closed down bummer first night spent room🙄not happy travelers notified prior arriving time could planned accordingly found something else special day read read less,1
nice hotel could cleaner pools could maintained better kids area could redone provide better water play areas children read read less,1
property well kept room clean arrived modern no adult entertainment provided nothing within walking distance restaurants ok staff polite professional check system authorized credit card big amount according uber driver happens lot orlando however ashley s brought attention took care immediately apologetic took necessary steps make sure didnt happen given breakfast buffet coupons compted day resort fee far room cleaned daily housekeeping needs help never consistent leaving towels toilet paper no vacuuming didnt empty trash day wouldnt choose stay families children plenty activities kidos read read less,1
entire staff professional kind extemely helpful came planning visit disney world magic kingdom yasir best went beyond explaining detail purchade disney passes downloading using disney experience app activating fast pass etc without day wouldnt went smooth got disney thank much yasir will definitely coming back location read read less,1
didnt accomodate needing two queen beds family read read less,0
feel dirty old carpet kind almost felt like linen not wash guess needs updating will okay read read less,1
disappointed property but staff friendly helpful read read less,0
room comfortable seems like remodeled read read less,0
hotel clean staff friendly helpful read read less,0
great property clean grounds nice pool rooms could definitely use little modernizing compared others area but overall nice affordable place stay read read less,1
property great but issues day shift not getting room hours arrived system went down no rooms able given told write name phone number piece computer paper would call system back checked bags baggage counter waited hours got tired waiting went park hours returned park system back no call anything yr old flew kc dirty tiredthe day manager stated couldnt comp room night didnt authority but gave us free breakfast gave us room key got room tried go someone already room returned front desk night manager upgraded us tower ok thats fine get floor tried key didnt work drag kids wife back down lobby time gave us room key worked but still didnt know bags night manager awesome reason authority comp us nights give us another free breakfast night manager great help everything could make sure cleaned managers mess even brought bags room personally best part hotel read read less,1
property needs renovated old fashion read read less,0
location excellent hotel room small but clean pool good read read less,0
one room not ready but didnt mind ton since one layout hotel bit confusing first liked close disney springs shuttle service excellent pool nice little ones food pool amazing read read less,1
didnt like parking lot cars think every guest designated parking read read less,0
great service front desk rooms spacious clean fully stocked kitchen great plus read read less,0
hotel three star nice hotel but it’s expensive three star hotel no place front hotel load unload lot constructions no parking available read read less,1
rooms nicely updated clean hotel overall nice read read less,0
no parking charged day park rooms extremely small staff not speak english couldnt find reservation read read less,1
great stay would stay close disneyland read read less,0
toilet handle room broke off first use called room service fix pool didnt come asked front desk see if could fix went got back four hours later never fixed open top toilet every time flush super annoying also parking not included price sucked read read less,1
room wasupdated moderni loved rug lamp room read read less,0
nice lot stores next hotel convenient fiancé read read less,0
clean friendly walls thin hear everyone everything remote not working condition pet friendly but no pet bags pet station read read less,0
liked fact wawa right across parking lot didnt like fact couldnt open sliding glass doors patio due stuck read read less,1
good hotel but no elevator second floor bringing down luggage difficult read read less,0
layout location great offer yoga free mondays wednesdays excercise room nice pool room spacious comfortable read read less,0
great location lovely staff no frills hotel ideal busy manhattan trip read read less,0
staying one night lobby staff helped us kind way really appreciate help read read less,0
historic location need updated need better technology read read less,0
history property wonderful location perfectly central many things read read less,0
location good clean good pool read read less,0
not like pay additional hotel fees taxes almost including parking fee didnt account read read less,0
location great situated minute walk disney springs buses parks come every half hour excellent staff friendly helpful hotel clean pool area clean well open intil restaurants property serve variety good food breakfast buffet disney characters certain dayshas many choices food food drink shop wonderful nice gift shop situated lobby even lobby many spots sit relax even watch tv kids wonderful experience staying wyndham garden lake buena vista read read less,1
trip great but things pricey read read less,0
really liked hotel will probably book amenities awesome overall hotel nice reason reviewed arrived hotel staff told us overbooked going moved room room middle stay children sucks but didn’t choice booked long advance no way another hotel would price area pretty sold bit bullet but next morning went downstairs staff counter no idea talking informed us no rooms move us great inconvenience stay packed day thinking we’d moving rooms addressed no one knew talking also breakfast summit restaurant parking lot got continental fruit fruit pastry paid different breakfast but ridiculously priced if weren’t staying hotel two bowls fruit two pastries two plates biscuits gravy would luckily not much since staying miscommunication front hotel one nicer ones we’ve ever stayed kids read read less,1
ac room broken dirong bery jot hot weather room warm hall lobby cool read read less,0
like hours front desk service improve not enough parking read read less,0
pictures appear book location misleading dingy priced motel not worth money paid called “upgraded room” received room balcony overlooked horrible landscaping busy parking lot request room cleaned room not clean staff members rude will def look resort options future read read less,1
stayed girlfriend birthday prior stay messaged hotel additions birthday if added would pay advance appreciate none happened upon check front desk woman coarse seemed overworked questions amenities quickly averted topic bartenders lobby nice but seemed everyone another countrythat’s talked that’s fine but became noticably worse arriving work visibly hung “resort” fine check handed map let us know everything quiet pool map looking forward however reality unmonitored often run kids louder adults hot tub no spa despite advertised small gym open anyone sauna stay kids everywhere didn’t bother use features also ducks property girl enjoyed know florida wildlife comes staying anywhere however really disheartening see kids young adults violently chasing away times hotel staff outdoor attendants inform assist resort run stay would probably lot better read read less,1
dont like filled couldnt find parking left evening bathroom dont vents disgusting food priced kinda boring place huge building uber lyft dont wanna pick building service resturants international dr awful never will get hotel will renting homes hotel not comfortable alot noise throught night day never dont get hotel will regret read read less,1
love property always friendly staff clean read read less,0
not like no elevator second floor lots luggage friendly wait staff nice ate meals everyone great read read less,0
credit card system went down soon got front line but gracious accommodating received vouchers two free breakfasts overall goto hotel quick trips ny read read less,1
good friendly staffs convenient location read read less,0
staff friendly check easy room clean read read less,0
damaged smelly dusty poor servicereally no coffee air conditioner sounder like diseased mongoose flight incredibly exoensive read read less,1
property comfortable never room shower cap qtips nice gesture must say loud pool beautiful full loud people trying go bed but could hear screams someine floor kept ru ning back lforth hallway but liked small geatures read read less,1
ive stayed new yorker several times always pleased stay subway ac e trains station outside hotel well crosstown uptown bus stops staff always friendly helpful trip thought booked double room but actually book single room double bed definitely error friend like brother didnt fancy sleeping stay however staff able find us double room much delight highly recommend hotel hotel choice staying new york read read less,1
local manhattan good near various attractions nyc read read less,0
please read fine print choosing hotel yes close disney springs but dont get much money spend pool nice rooms oit dated dirty dont bother ordering room service if soda drinker bring last night ordered meal split young daughter splurged bit got steak potatoes asked drink wanted ordered pepsi sprite surprise not bottle piece meant two cans soda talk robbery steak ordered but cokes added plus walking bill one plated meal bus transport offer parks ridiculous drivers rudeeven children always late also leave people walkingrunning flagging down wait saw multiple occasions three day stay nothing hotel disney themed store down stairs oh fees stay outrageous night resort fee but also pay day park car even if park three nights pay resort fees park car top paid room little bucks could stayed actual property nice room kind bus drivers price but live learn guess livid read read less,1
people property helpful nice especially shelton baggage desk bonnie pool property nice rooms bit dated but knew going overall would definitely stay read read less,1
minute wait check desk staffed staff friendly helpful property clean but old dated not hot hot tub cloudy swimming pool key card lock one door broken room nothing special lumpy bed old stained shower fresh grout but sheets towels etc clean price not match value read read less,1
bar pool clean nice area read read less,0
didn’t like rooms one tv never works read read less,0
location mins away universal park surrounded great restaurants read read less,0
stayed years ago though pleased accommodations hotel beginning look dated not fresh remembered kayla front desk professional engaging accommodating knowledgeabledelivered “world class” service read read less,1
nice but simple room blow dryer switch not work read read less,0
comfortable nights stayed hotel rented two rooms changed day due cold showers prior two nights hot water entire hotel went lied several hours fixed instructing run water minutes minutesuntil went desk finally said repair begun another cold shower left morning returned bed water dripping air conditioner vent ac not working correctly since couldn’t fixed furniture moved side drip area meant couldn’t sit bed without hitting head light no ac evening next day lied saying fixed call move furniture back looked see water vent pushed furniture slept like rest stay without ac working properly talking every single manager getting nowhere wait two hours one morning day speak director operations but accused lying would “take customers word employees” took days off one rooms second room changed day first smelled like rotten eggs entire time but maintenance nothing director operations wasn’t willing anything read read less,1
rooms dated definitely need upgrade but housekeeping always great job keeping clean providing toiletries towels stay found odd rooms didnt come coffee maker not sure if standard hotels not but theres starbucks mcdonalds across street well dunkin donuts next block hotels gym pretty big comes lot treadmills equipment location best thing hotel right across penn station msg short walk away macys empire state building read read less,1
stay plesant however clip button end shower curtain missing water falling onto floor outside tub called fd immediately corrected blast oh way thanks early check read read less,1
beautiful place great memories must visit read read less,0
clean nice rooms nice pools thing not like pay dollars day selfparking top resort fee read read less,0
nothing unique not much offer not pleasing eye inroom ac refrigerator loud cycled every minutes prevented good night sleep told check staff experience terrible got no response read read less,1
great location getting around city friendly staff read read less,0
hotel location ideal first time visitors times square empire state broadway walking distance also subway around corner rooms small but that’s understandable new york hotels offer fairly small rooms but will charge facilities fees every night took surprise since booked third party company not aware read read less,1
enjoyed staying location great it’s close time square metered parking easy find good restaurant nearby will stay hotel read read less,1
room expected nice restaurant but service slow read read less,0
ac noisy room rugs needs shampooed read read less,0
great checkin staff helpful beautiful lobby read read less,0
beautiful room hard time checking keys didnt work read read less,0
bathrooms room wasn’t cleaned properly bathroom floor urines marks sure whoever “ cleaned “ sloppy job disgusting seeing old dry urines spots make comments property manager read read less,1
liked location based purpose trip if youre disney seems excellent location stayed one sunset wings appear older part hotel however room nice clean pools nice poolside bar called oasis ok but looks like could use upgrade drink prices reasonable read read less,1
nothing special problem checking reserving rooms expedia wait hours actually get rooms read read less,0
nothing unique property rooms need modernized read read less,0
hotel seem nice booking ans upon arrival lobby beautifulbut directed room disappointed property outdated although room modernized could feel smell old especially okd noisy airconditioning room worst thing going bathroom middle night finding cockroach read read less,1
pools amazing staff nice but parkin expensive read read less,0
good view nice location waking distance many restaurants read read less,0
location ideal acces many events attractions staff friendly helpful room quiet although bit small adequate amount time spent read read less,0
hotel convenient penn station times square room adequate guest bathroom large clean room small but needed staff pleasant always available directions help getting cabs needed would definitely recommend will stay if new york read read less,1
great location walking distance disney springs read read less,0
liked closest hotel disney springs read read less,0
liked location facility next disney springs quick walk bridge told desk clerk not returned room late tired would called desk hind sight ask room service come change bed sheets upon entering sheets feeling damp not dried completely tired change rooms wait service read read less,1
dirty dirty far away dirty dirty say dirty read read less,0
super friendly staff check check smooth informative free underground parking bonus something say room stain bed sheet however since got double queen bedroom travelling girlfriend wouldnt need bed overall great experience read read less,1
staff great but property not except able look like pictures internet read read less,0
hidden costs ridiculous early check fees facility fees increase daily rates read read less,0
proximity disney parks disney springs also close read read less,0
no amenities room room pillow cases not changed night stay bath towel holes read read less,1
socal residents disney pass holders frequently visit parks but occasionally stay anaheim due high room rates said stayed several properties local parks years but first time hotel will not last fact will go hotel great rates compared area hotels paid hotels charging night brand new supremely clean facilities lobby pool room free parking no resort fee excellent customer service stacy team will back highly recommend whole property newly renovated rooms clean large queens pull couch view pool used pool heated pool area clean well stocked towels gated underground parking able leave car garage enjoyed parks check returned get vehicle around walked garden walk dinner well disneyland greeted time every employee encountered definitely will plan using hotel disney spot read read less,1
property clean staff helpful parking but much especially if almost days but nice trip read read less,0
system broken arrival day arrived checked hours standing line worst hotel experience ever rest stay ok but appart nice lobby rooms bit run down nothing special read read less,1
bathroom lots mold peeling paint suspect cleaning crew given enough time materials clean properly staff nice except doorman rude not effective getting cabs informed front desk bathroom requested better cleaning days didn’t ask separate cleaning apart but wasn’t done tv also fuzzy but called fixed transferred around put hold long read read less,1
great location easy access disney springs frequented evenings theme parks read read less,0
great location minute walk disney springs magic kingdom buses door pm round trip nice hotel beautiful pool perfect location disney read read less,0
pool surrounding area actually quite nice gripe one members cleaning crew working middle hallway cart approaching didn’t move us looked us squeezed awkward unprofessional read read less,1
guest computer time limit keep people abusing use read read less,0
great location close disneyland got enjoy firework show night however find wifi little slow use data phone read read less,1
loved overall experience first check attendant ferry pleasant professional staff dealt ok pretty much job not really personable but overall would definitely come back read read less,1
